variable,gender,age_min,age_max,percentile,value
Height,2,56,65,3.9,57.83751155
Height,2,66,79,3.9,57.8346769
Height,2,80,99,3.9,57.29514905
Height,1,0,18,3.9,35.826791
Height,1,18,25,3.9,63.80857776
Height,1,26,35,3.9,63.67259344
Height,1,36,45,3.9,63.43885315
Height,1,46,55,3.9,63.2677507
Height,1,56,65,3.9,63.30019166
Height,1,66,79,3.9,62.38381321
Height,1,80,99,3.9,61.83889166
Height,2,0,18,4,34.9606488
Height,2,18,25,4,58.9764098
Height,2,26,35,4,59.2126304
Height,2,36,45,4,58.80790577
Height,2,46,55,4,57.9921573
Height,2,56,65,4,57.87089739
Height,2,66,79,4,57.8346769
Height,2,80,99,4,57.30554276
Height,1,0,18,4,35.8661611
Height,1,18,25,4,63.88192426
Height,1,26,35,4,63.69609739
Height,1,36,45,4,63.55279022
Height,1,46,55,4,63.2677507
Height,1,56,65,4,63.3071208
Height,1,66,79,4,62.41263213
Height,1,80,99,4,61.87089955
Height,2,0,18,4.1,35.0000189
Height,2,18,25,4.1,58.99904761
Height,2,26,35,4.1,59.22180363
Height,2,36,45,4.1,58.89129164
Height,2,46,55,4.1,58.02341716
Height,2,56,65,4.1,57.96475571
Height,2,66,79,4.1,57.8346769
Height,2,80,99,4.1,57.31593646
Height,1,0,18,4.1,35.9055312
Height,1,18,25,4.1,63.9966881
Height,1,26,35,4.1,63.71960134
Height,1,36,45,4.1,63.74397143
Height,1,46,55,4.1,63.2983019
Height,1,56,65,4.1,63.34302633
Height,1,66,79,4.1,62.44192348
Height,1,80,99,4.1,61.90727752
Height,2,0,18,4.2,35.05946775
Height,2,18,25,4.2,59.02759093
Height,2,26,35,4.2,59.24987451
Height,2,36,45,4.2,58.8976696
Height,2,46,55,4.2,58.07538569
Height,2,56,65,4.2,57.9921573
Height,2,66,79,4.2,57.83885013
Height,2,80,99,4.2,57.3228656
Height,1,0,18,4.2,35.95403516
Height,1,18,25,4.2,64.0157826
Height,1,26,35,4.2,63.74601867
Height,1,36,45,4.2,63.81845966
Height,1,46,55,4.2,63.35090035
Height,1,56,65,4.2,63.39656967
Height,1,66,79,4.2,62.49956131
Height,1,80,99,4.2,61.94995471
Height,2,0,18,4.3,35.1181292
Height,2,18,25,4.3,59.07286655
Height,2,26,35,4.3,59.2779454
Height,2,36,45,4.3,58.9117641
Height,2,46,55,4.3,58.10361405
Height,2,56,65,4.3,58.01042503
Height,2,66,79,4.3,57.86613361
Height,2,80,99,4.3,57.3228656
Height,1,0,18,4.3,36.0404919
Height,1,18,25,4.3,64.03208182
Height,1,26,35,4.3,63.79302657
Height,1,36,45,4.3,63.87023134
Height,1,46,55,4.3,63.4034988
Height,1,56,65,4.3,63.4252311
Height,1,66,79,4.3,62.53845897
Height,1,80,99,4.3,61.9926319
Height,2,0,18,4.4,35.18978278
Height,2,18,25,4.4,59.10633113
Height,2,26,35,4.4,59.2913706
Height,2,36,45,4.4,58.93955939
Height,2,46,55,4.4,58.15341723
Height,2,56,65,4.4,58.05609434
Height,2,66,79,4.4,57.89341709
Height,2,80,99,4.4,57.3228656
Height,1,0,18,4.4,36.1023817
Height,1,18,25,4.4,64.16979843
Height,1,26,35,4.4,63.82948329
Height,1,36,45,4.4,63.94192429
Height,1,46,55,4.4,63.4252311
Height,1,56,65,4.4,63.4252311
Height,1,66,79,4.4,62.56727788
Height,1,80,99,4.4,62.03530909
Height,2,0,18,4.5,35.23525525
Height,2,18,25,4.5,59.12896894
Height,2,26,35,4.5,59.2913706
Height,2,36,45,4.5,58.96735468
Height,2,46,55,4.5,58.1890078
Height,2,56,65,4.5,58.1102676
Height,2,66,79,4.5,57.9134171
Height,2,80,99,4.5,57.3228656
Height,1,0,18,4.5,36.13466518
Height,1,18,25,4.5,64.27975912
Height,1,26,35,4.5,63.85298724
Height,1,36,45,4.5,63.9764125
Height,1,46,55,4.5,63.4252311
Height,1,56,65,4.5,63.45357757
Height,1,66,79,4.5,62.59609679
Height,1,80,99,4.5,62.0472776
Height,2,0,18,4.6,35.28072771
Height,2,18,25,4.6,59.20475638
